,Number,Date,Incident & description,Location,People killed,Injured,Status of case
0,14,20 May 2000,Bagber massacre,Tripura,25,,
1,15,May–July 2000,2000 Church bombings of South India,"Karnataka, Goa and Andhra Pradesh",0,,Verdict given
2,16,"June 9, 2001",Charar-e-Sharief mosque attack,Charari Sharief,4,60,
3,17,"December 22, 2000",2000 terrorist attack on Red Fort[11],Delhi,3,14,Verdict given
4,18,"October 1, 2001",2001 Jammu and Kashmir legislative assembly car bombing,Jammu and Kashmir,38,,
5,19,"December 13, 2001",2001 Indian Parliament attack in New Delhi,Delhi,7,18,Verdict given
6,,"January 22, 2002",American Cultural Centre attack,Kolkata,5,20,
7,20,"May 13, 2002",2002 Jaunpur train crash[12],N/A,12,80,
8,21,"March 30, 2002",2002 Raghunath temple attacks[13],Jammu,11,20,
9,22,"September 10, 2002",Rafiganj train wreck,Bihar,200,150+,
10,23,"November 24, 2002",2002 Raghunath temple attacks[13],Jammu,14,45,
11,24,"December 6, 2002",2002 Mumbai bus bombing[14],Mumbai,2,14,
12,25,"December 21, 2002",Kurnool train crash,Andhra Pradesh,20,80,
13,26,"September 24, 2002",Attack on Akshardham temple,Gujarat,31,80,Verdict given
14,27,"January 27, 2003",January 2003 Mumbai bombing[15],Mumbai,1,28,
15,28,"March 13, 2003",March 2003 Mumbai bombing[16],Mumbai,10,,
16,29,"July 28, 2003",July 2003 Mumbai bombing[17],Mumbai,4,32,
17,30,"August 25, 2003",August 2003 Mumbai bombings,Mumbai,52,,
18,31,"Jan 02, 2004",Jammu railway station attack[18],Jammu,4,14,
19,32,"August 15, 2004",2004 Dhemaji school bombing,Assam,18,40,
20,33,"July 5, 2005",2005 Ram Janmabhoomi attack[19],Ayodhya,6,,
21,34,"July 28, 2005",2005 Jaunpur train bombing[20],N/A,13,50,
22,35,"October 29, 2005",2005 Delhi bombings: Three powerful serial blasts in New Delhi at different places[21],Delhi,70,250,
23,36,"December 28, 2005",2005 Indian Institute of Science shooting,Karnataka,1,4,
24,37,"February 19, 2006",2006 Ahmedabad railway station bombing,Gujarat,0,25,
25,38,"March 7, 2006",2006 Varanasi bombings: Three synchronized terrorist attacks in Varanasi in Shri Sankatmochan Mandir and Varanasi Cantonment Railway Station[22][23],Varanasi,28,101,
26,39,"July 11, 2006",2006 Mumbai train bombings: Series of 7 train bombing during the evening rush hour in Mumbai,Mumbai,209,714,
27,40,"September 8, 2006","2006 Malegaon bombings: Series of bomb blasts in the vicinity of a mosque in Malegaon, Maharashtra",Maharashtra,40,125,
28,41,"February 18, 2007",2007 Samjhauta Express bombings,Haryana,70,50,
29,42,"May 18, 2007",Mecca Masjid bombing,Hyderabad,16,100,
30,43,"August 25, 2007",August 2007 Hyderabad bombings - Two blasts in Hyderabad's Lumbini park and Gokul Chat.,Hyderabad,42,54,
31,44,"October 11, 2007",Ajmer Dargah bombing[24],Rajasthan,3,17,
32,45,"October 14, 2007",One blast in a movie theatre in the town of Ludhiana[24],Ludhiana,6,,
